time_of_info,count_to_r,count_to_l,count_to_b,count_to_t,count_stuck_middle,count_stuck_to_r,count_stuck_to_l,count_stuck_to_b,count_stuck_to_t,is_jam_next_l,is_jam_next_r,is_jam_next_t,is_jam_next_b,is_green_horizontal,is_green_vertical,y
750,4,7,0,1,0,0,0,0,0,0,0,0,0,1,0,2
750,0,1,3,1,0,0,0,0,0,0,0,0,0,1,0,1
750,1,1,1,3,0,0,0,0,0,0,0,0,0,1,0,1
750,2,0,5,6,0,0,0,0,0,0,0,0,0,1,0,1
750,8,4,2,0,0,0,0,0,0,0,0,0,0,1,0,2
765,1,6,0,3,0,0,0,0,0,0,0,0,0,1,0,2
765,0,1,5,1,0,0,0,0,0,0,0,0,0,1,0,1
765,1,2,2,3,0,0,0,0,0,0,0,0,0,1,0,1
765,1,0,5,6,0,0,0,0,0,0,0,0,0,1,0,1
765,6,2,4,0,0,0,0,0,0,0,0,0,0,1,0,2
780,3,7,0,1,0,0,0,0,0,0,0,0,0,0,1,2
780,0,3,5,3,0,0,0,0,0,0,0,0,0,0,1,1
780,1,1,2,7,0,0,0,0,0,0,0,0,0,0,1,1
780,1,0,2,7,0,0,0,0,0,0,0,0,0,0,1,1
780,7,3,1,0,0,0,0,0,0,0,0,0,0,0,1,2
795,4,6,0,1,0,0,0,0,0,0,0,0,0,0,1,2
795,0,3,1,2,0,0,0,0,0,0,0,0,0,0,1,1
795,1,1,1,3,0,0,0,0,0,0,0,0,0,0,1,1
795,2,0,1,3,0,0,0,0,0,0,0,0,0,0,1,1
795,9,7,1,0,0,0,0,0,0,0,0,0,0,0,1,2
810,3,7,0,2,0,0,0,0,0,0,0,0,0,1,0,2
810,0,2,3,2,0,0,0,0,0,0,0,0,0,1,0,1
810,2,2,1,1,0,0,0,0,0,0,0,0,0,1,0,2
810,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,1
810,9,6,3,0,0,0,0,0,0,0,0,0,0,1,0,2
825,1,4,0,4,0,0,0,0,0,0,0,0,0,1,0,2
825,0,2,3,4,0,0,0,0,0,0,0,0,0,1,0,1
825,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,2
825,1,0,2,6,0,0,0,0,0,0,0,0,0,1,0,1
825,7,1,3,0,0,0,0,0,0,0,0,0,0,1,0,2
840,1,5,0,5,0,0,0,0,0,0,0,0,0,0,1,2
